REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
43039,2010,01,4,35,0,10,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,1,11,,438
43040,2010,01,1,24,0,03,6,2,2,4,1,,,2,3,10,07,31,,,,400,400,1,400,400,0,,0,0,0,,111,,1500,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,208
43041,2010,01,1,35,0,11,,1,3,6,1,,,3,2,14,03,12,,,,400,400,1,400,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,18,,137
43042,2010,01,4,10,0,12,,2,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,92
43043,2010,01,4,35,0,12,,1,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,01,,197
43044,2010,01,1,59,9,02,4,2,6,5,1,,,2,3,10,07,34,,,,250,250,2,250,250,0,,0,0,0,7,8,,1100,3,1,3,4,,,,,,,,,,,,,,,,,1,07,,131
43045,2010,01,4,35,0,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,193
43046,2010,01,1,10,0,08,,1,1,4,1,,,2,3,11,03,12,,,,700,700,1,700,700,0,,0,0,0,,11,,3606,3,3,1,4,,,,,,,,,,,,,,,,,1,05,,105
43047,2010,01,1,46,6,10,,2,6,5,1,,,1,3,16,05,20,,,,240,180,2,240,180,0,,0,0,0,5,240,,4006,1,1,3,4,,,,,,,,,,,,,,,,,1,01,,161
43048,2010,01,1,35,3,12,,1,1,5,1,,,3,3,16,02,07,,,,300,300,1,300,300,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,02,,364
43049,2010,01,4,46,6,03,6,1,1,2,,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,4,,,,,,,,,,,1,09,1,71
43050,2010,01,1,35,4,07,,2,1,6,1,,,2,2,12,03,11,,,,400,400,1,400,400,0,,0,0,0,,158,,4808,3,1,4,4,,,,,,,,,,,,,,,,,1,03,3,641
43051,2010,01,1,35,0,02,3,2,6,3,1,,,1,3,18,06,29,,,,200,160,2,200,160,0,,0,0,0,7,47,,1400,1,3,2,4,,,,,,,,,,,,,,,,,2,04,,93
43052,2010,01,2,35,0,04,,1,1,4,1,,,1,3,18,07,33,3,2,2,240,0,2,240,0,,,,,,7,80,,1700,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,111
43053,2010,01,4,24,0,03,6,2,2,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,1,06,2,383
43054,2010,01,2,59,0,01,1,2,6,1,1,,,2,3,19,07,32,0,1,2,100,0,2,100,0,,,,,,4,17,,800,3,4,1,2,,,,,,,,,,,,,,,,,2,03,,440
43055,2010,01,4,47,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,1,11,,157
43056,2010,01,4,46,0,01,2,1,6,2,,1,2,2,3,19,07,32,,,,,,,,,,,,,,,,37,,,,,,,,,0,06,7,,,,,,,,,,,1,03,,35
43057,2010,01,1,35,0,03,6,2,4,4,1,,,2,3,15,03,13,,,,400,200,1,400,200,200,1,0,0,0,,106,,1485,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,300
43058,2010,01,3,24,0,09,,1,2,4,,1,1,2,3,20,08,35,,,,,,,,,,,,,,,,240,,,,,,2,6,1,4,10,1,2,,1,,1,,,3,,,1,12,3,350
43059,2010,01,1,24,0,10,,2,3,0,1,,,2,3,19,07,34,,,,200,200,2,200,200,0,,0,0,0,1,10,,1700,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,300
43060,2010,01,4,46,0,11,,2,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,11,,38
43061,2010,01,1,47,0,07,,1,6,4,1,,,1,3,11,07,33,,,,240,240,2,240,240,0,,0,0,0,5,37,,1960,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,89
43062,2010,01,4,47,0,12,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,11,,101
43063,2010,01,4,24,2,11,,1,4,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,01,,494
43064,2010,01,1,12,0,08,,2,2,4,1,,,2,3,12,07,32,,,,400,460,1,400,460,0,,0,60,60,,70,,2404,3,1,1,1,,,,,,,,,,,,,,,,,1,04,4,159
43065,2010,01,1,35,0,02,4,2,2,5,1,,,2,3,17,04,16,,,,400,400,1,400,400,0,,0,0,0,,32,,2400,1,1,3,3,,,,,,,,,,,,,,,,,1,02,,141
43066,2010,01,1,10,0,04,,2,1,2,1,,,2,3,18,07,33,,,,320,200,1,320,200,120,2,0,0,0,,6,,900,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,113
43067,2010,01,4,10,0,06,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,1,06,3,139
43068,2010,01,4,35,0,12,,2,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,01,,127
43069,2010,01,4,35,0,01,2,1,6,1,,1,2,2,3,10,07,33,,,,,,,,,,,,,,,,2,,,,,,,,,4,10,2,,,,,,,,,,,2,04,,201
